a.m.,เอเอ็ม,ก่อนเที่ยง
lend,เล็นด,ให้ยืม
length,เล้นธ,ความยาว
lessen,เล๊ซเช่น,ทำให้น้อยลง
lesson,เล๊ซซั่น,บทเรียน
let,เล็ท,"ปล่อย,ขอให้"
lethal,ลี๊ธอล,ร้ายแรง(ถึงตาย)
letter,เล็ทเท่อร์,"จดหมาย,อักษร"
level,เล๊เฝ่ล,"ระดับ,ชั้น"
liar,ไลอ้าร,โกหก
liberal,ลิ๊เบอรัล,เสรีนิยม
liberty,ลิ๊เบอร์ที่,อิสระ
library,ไล๊บระริ,ห้องสมุด
licence,ไล๊เซ่นซ,ใบอนุญาต
lie,ไล,"โกหก,วาง,นอน"
life,ไล๊ฟ,ชีวิต
lift,ลิฟท,ยก
light,ไล๊ท,"แสง,ไฟ"
light bulb,ไลท์ บัล์บ,หลอดไฟ
Light Soya sauce,ไลทฺ ซอย’ยะ ซอส, ซี้อิ้วขาว
lightning,ไล๊ทนิ่ง,ฟ้าแลบ
like,ไลค์,ชอบ เหมือน
limb,ลิ๊มบ์,"แขนขา,ระยาง"
limbs,ลิมส์,แขนขา
lime,ไลม,มะนาว
Lime juice,ไลม์ จูสฺ, น้ำมะนาว
limit,ลิ๊หมิท,"จำกัด,ขีดสุด"
line,ไลน์,"เส้น,สาย,แถว"
lingual,ลิ๊งกวอล,ภาษา
link,ลิ๊งค,"เกี่ยวข้อง,เชื่อมโยง"
lion,ไล๊เยิน,สิงโต
lip,ลิพ,ริมฝีปาก
liquht soap,ลิควิด โซพ,สบู่เหลว
liquid,ลิ๊ควิด,ของเหลว
liquor,ลิเคอร์,เหล้า
list,ลิสท,บัญชีรายชื่อ
listen,ลิ๊สซึ่น,ฟัง
literacy,ลิ๊เทอเรซี่,การรู้หนังสือ
litre,ลิทร์,ลิตร
little,ลิ๊ทเทิ่ล,เล็กน้อย
little finger,ลิ๊ทเทิล ฟิงเกอ,นิ้วก้อย
live,ไล้ฝ,ชีวิต
liver,ลิ๊เฝ่อร์,ตับ
lizard,ลิ๊เสิด,พวกจิ้งจก ตุ๊กแก
load,โหลด,"บรรทุก,ภาระ"
loan,โลน,เงินกู้
lobby,ล๊อบบี้,"ห้องโถง,โน้มน้าวใจ"
local,โล๊ค่อล,ท้องถิ่น
Local Food,โล’เคิล ฟูด,อาหารท้องถิ่น
lock,ล๊อค,ล๊อค
log,ล๊อก,"ซุง,ตัดไม้"
logic,ล๊อจิค,"ตรรกะ,หลักเหตุผล"
logistic,ลอจิ๊ซติค,"การขนส่ง,การจัดการสินค้า"
lone,โลน,"คนเดียว,โทน"
long,ลอง,"ยาว,ไกล,นาน"
long bean,ลอง-บีน,ถั่วฝักยาว
long jump,ลอง จัมพ,กระโดดไกล
longan,ล๊องเกิน,ลำไย
Longan juice ,ลอง’เกิน จูสฺ,น้ำลำไย
look,ลุ๊ค,"มอง,ดู,เห็น"
loose,ลู้ส,หลวม
lord,หลอร์ด,เจ้าผู้มีอำนาจ
lose,ลู้ส,"แพ้,เสีย"
loss,ล๊อสส,ขาดทุน
lotion,โลเชิน,ครีมบำรุงผิว
lotus,โล๊ทัส,บัวหลวง
loud,เลาด,ดัง
low,โลว,"ต่ำ,ลด"
loyal,ล๊อยัล,ซื่อสัตย์
lubricate,ลู๊บริเขท,หล่อลื่น
luck,ลัค,"โชค,โชคดี"
luggage,ลั๊กเกจ,"หีบห่อ,สัมภาระ"
lunar,ลู๊น่าร,พระจันทร์
lunch,ลันชฺ,"อาหารกลางวัน, อาหารเที่ยง"
lung,ลัง,ปอด
luxury,ลั๊กซุรี่,หรูหรา
lychee,ลีชชี,ลิ้นจี่
lymph,ลิมฟ,น้ำเหลือง
macchiato,มัคคิอาโท,กาแฟมัคคิอาโต้
machine,แมชชีน,เครื่องจักร
mad,แม้ด,"บ้า,คลั่ง"
magazine,แม๊กกาซีน,"วารสาร,รังกระสุน"
magic,แม๊จิค,"วิเศษ,มหัศจรรย์"
magician,เมอจิช เชียน,นักมายากล
magnet,แม๊กเหน็ท,แม่เหล็ก
magnitude,แม๊กนิจูด,ขนาด
maid,เมด,แม่บ้าน
mail,เมล,"จดหมาย,ส่งทางจดหมาย"
main,เมน,"หลัก,สำคัญ,ใหญ่"
mainly,เม๊นลี่,ส่วนใหญ่
maintain,เมนเทน,"รักษาไว้,คงไว้"
majesty,ม๊าเจ๊สที่,"อำนาจ,ความศักดิ์สิทธิ์"
major,เม๊เจ้อร์,ใหญ่
majority,มะจ๊อริที่,ส่วนใหญ่
make,เม้ค,"ทำ,สร้าง,ตั้ง"
mal-,แม็ล-,",-ไม่ดี,-ผิด"
male,เมล,"ผู้ชาย,ตัวผู้"
mall,มอลล์,ทางเดินที่มีหลังคา
man,แมน,"ผู้ชาย,คน"
manage,แม๊เหนจ,จัดการ
mandate,แม๊นเดท,"คำสั่ง,อำนาจที่ได้รับมอบ"
mango,แม็งโก,มะม่วง
mango juice,แมงโก-จูส,น้ำมะม่วง
mangosteen,แมงโกสตีน,มังคุด
"mania,maniac","เม๊เนีย,เม๊นิแอ๊ค","บ้า,คลั่ง"
manifest,แม๊นิเฟสท,"ประจักษ์,ชัดแจ้ง"
manifold,แม๊นิโฟลด,หลายเท่า
manipulate,แมนิ๊พิวเหลท,"ยักย้าย,ต้มตุ๋น"
mankind,แม๊นคายนด,คน
manner,แม๊นเน่อร์,"อาการ,ท่าทาง"
mansion,แม๊นชั่น,คฤหาสน์
manual,แม๊น่วล,"คู่มือ,ด้วยมือ"
manufacture,แมนูแฟ๊คเจ่อร์,ผลิต
map,แม็พ,แผนที่
marble,ม๊าร์เบิ้ล,หินอ่อน
march,มาร์ช,"เดินขบวน,เดินแถว"
margin,ม๊าร์จิ้น,"ริม,ขอบ,กำไร"
marine,มารีน,ทะเล
mark,ม๊าร์ค,"คะแนน,เครื่องหมาย"
market,ม๊าร์เก๊ต,ตลาด
marrow,แม๊โร,ไขกระดูก
marry,แม๊ร์รี่,แต่งงาน
mart,หมาร์ท,ตลาด
martini,มาร์ทีนี่,เหล้ามาร์ตินี่
marvel,ม๊าร์เฝ่ล,ประหลาดใจ
mask,แมสค,หน้ากาก
mason,เม เซิน,ช่างก่อสร้าง
mass,แมสส,"มวล,มากมาย"
massacre,แม๊สเคอร์,การฆ่าหมู่
massage,แมสเสจ,การนวด
master,ม๊าสเต้อร์,"นาย,ครอบงำ"
mat,แมท,เสื่อ
match,แหมทช์,"ไม้ขีดไฟ,จับคู่,เข้าคู่"
mate,เหมท,เพื่อน
maths,แหมธส์,คณิตศาสตร์
matter,แม๊ทเท่อร์,"วัตถุ,สาระ,เรื่องราว"
mature,เมเจ่อร,"แก่,สุก"
maximum,แม๊กซิมั่ม,สูงสุด
may,เมย์,อาจจะ
mayor,เม๊เอ่อร์,นายกเทศมนตรี
Me,มี,ฉัน
meal,มีล,อาหารมื้อหนึ่ง
mean,มีน,"ความหมาย,วิถีทาง,สายกลาง"
measure,เม๊เช่อร์,"เครื่องวัด,การวัด,มาตรการ"
meat,มี๊ท,เนื้อสัตว์
meatball,มีทบอล,ลูกชิ้น
mechanic,มะแค๊นนิค,ช่างยนต์
medal,เม๊ดอล,เหรียญ
medicine,เม๊ดดิซิน,"ยา,แพทย์ศาสตร์"
medicine cupboard,เมดิซีน คัพบอร์ด,ตู้เก็บยา
mediocre,เม๊ดดิโอเค่อร์,"สามัญ,ธรรมดา"
medium,มี๊เดี้ยม,ปานกลาง
medley,เม๊ดลี่ย์,ผสมปนเป
meet,มี๊ท,พบ
mega-,เม๊กกะ,"ใหญ่,ล้านเท่า"
melon,เม๊ลเลิน,เมลอน
melt,เม้ลท,หลอมละลาย
member,เม๊มเบ่อร์,สมาชิก
memory,เม๊มโมรี่,"ความจำ,อนุสรณ์"
mend,เม็นด์,"ซ่อม,ปะ"
mental,เม๊นท่อล,จิตใจ
menthal,เม๊นธ่อล,การบูร
mention,เม๊นชั่น,กล่าวถึง
mentor,เม๊นเต้อร์,พี่เลี้ยง
menu,เม๊นู,รายการ
merchant,เมอ แชนทฺ,พ่อค้า
mercy,เม๊อร์ซี่,"เมตตา,ปราณี"
mere,เมียร์,"เพียง,เท่านั้น"
merge,เมอร์จ,"ผสม,รวมกัน"
merit,เม๊อร์หริท,คุณความดี
merry,เม๊อร์รี่,"รื่นเริง,สนุกสนาน"
mess,เมส,ความยุ่งเหยิง
message,เม๊สเสจ,ข้อความ
metal,เมท่อล,โลหะ
metaphor,เม๊ทะฟอร์,โดยอุปมา
meter,มิ๊เท่อร์,เครื่องวัด
method,เม๊ธถอท,วิธี
metropolis,เมโทร๊โพลิส,"นครหลวง,ศูนย์กลาง"
micro-,ไม๊โคร-,"เล็ก,หนึ่งในล้าน"
mid,มิด,กลาง
middle,มิ๊ดเดิ้ล,กลาง
middle finger,มิ๊ดเดิล ฟิงเกอ,นิ้วกลาง
mild,มายลด์,"อ่อนโยน,อ่อน"
military,มิ๊ลิทารี่,"ทหาร,ทหารบก"
milk,มิลค์,นม
milkshake,มิลค์เชค,นมปั่น
mill,มิลล์,"โรงสี,โรงโม่"
millennium,มิลเล๊นเนี่ยม,รอบพันปี
milli-,มิ๊ลลิ,หนึ่งในพัน
million,มิ๊ลเลี่ยน,หนึ่งล้าน
millionaire,มิลเลี่ยนแนร์,เศรษฐี
millipede,มิ๊ลเลอะพีด,กิ้งกือ
mimic,มิ๊มิค,ล้อเลียน
mind,ไมนด์,"จิตใจ,เอาใจใส่"
mine,ไมน์,"ของฉัน,เหมืองแร่"
mineral water,มิเนอรัล วอเธอ,น้ำแร่
minister,มิ๊นิสเท่อร์,รัฐมนตรี
minor,ไม๊เน่อร์,น้อย
minority,ไมน๊อริที่,ส่วนน้อย
minus,ไม๊นัส,ลบ
minute,มิ๊หนิท,นาที
miracle,มิ๊ราเคิ่ล,"อัศจรรย์,อภินิหาร"
mirage,มิหราจ,ภาพลวงตา
mirror,มิ๊เรอะ,กระจกส่องหน้า
mirror cabinet,มิเรอร์ คาบิเนท,ตู้บานกระจก
mis-,มิส-,"ผิด,พลาด"
miss,มิส,นางสาว
mission,มิ๊ชชั่น,"หน้าที่,งานที่ได้รับมอบหมาย"
mistake,มิสเท้ค,ความผิดพลาด
mister,มิ๊สเทอร์,นาย
mix,มิกซ์,ผสม
mob,ม๊อบ,ฝูงชน
mobile,โม๊บายล์,เคลื่อนไหว
mocha,ม็อคคา,กาแฟม็อคค่า
mocktail,ม็อคเทล,น้ำอัดลมผสมน้ำผลไม้
mode,โหมด,"วิถี,แบบ,แบบนิยม"
model,ม๊อดเดิล,"นายแบบ, นางแบบ"
moderate,โม๊เดอร์เหรท,"พอประมาณ,ย่อมเยา"
modern,โม๊เดิ่ร์น,"ทันสมัย,สมัยใหม่"
modify,โม๊ดิฟาย,"ปรับแต่ง,แก้ไข"
moist,ม๊อยสท์,ความชื้น
mold,โมลด์,"รา,แม่พิมพ์"
mole,โมล,ไฝ
mom,มัม,แม่
moment,โม๊เม้นท,"ขณะ,ชั่วขณะ"
momentum,โมเม๊นตั้ม,พลัง
monarch,โม๊หนาร์ช,พระมหากษัตริย์
money,มั๊นนี่,เงิน
monk,มั๊งค,พระ
monkey,มั๊งคิ,ลิง
mono-,โมโน-,หนึ่ง
monopoly,โมโน๊โพลี่,ผูกขาด
monster,ม๊อนสเท่อร์,สัตว์ประหลาด
month,มั้นธ,เดือน
monthly,มั๊นธลี่,รายเดือน
monument,โม๊นิวเม้นท,อนุสาวรีย์
mood,มู้ด,อารมณ์
moody,มู๊ดี้,อารมณ์เสีย
moon,มูน,พระจันทร์
moral,ม๊อรั่ล,ศีลธรรม
morning,ม๊อร์นิ่ง,เช้า
mortal,ม๊อร์ท่อล,ถึงตาย
mortgage,ม๊อร์ทเกจ,จำนอง
mosquito,เมอะสกี๊โท,ยุง
motel,โมเท็ล,โรงแรม
Mother,มา'เธอะ,แม่
motor,ม๊อเท่อร์,เครื่องยนต์
motorist,ม๊อเท่อริสท์,ผู้ขับขี่
motorsports,โม เทอะสปอร์ทส,แข่งรถ
mountain,เม๊าเท่น,ภูเขา
mourn,โมน,ไว้ทุกข์
mouse,เมาส,หนู
moustache,เมอะสต๊าช,หนวด
mouth,เม๊าธ,ปาก
move,มู๊ฝ,"เคลื่อน,เคลื่อนไหว,ย้าย"
much,มัช,มาก
mud,มัด,โคลน
Muesli,มูสลี่,ธัญพืชต่างๆ ข้าวโอ๊ตชนิดเกล็ด 
Muffin,มัฟ’ฟิน,ขนมมัฟฟิน
multi-,มั๊ลไท-,หลาย
multiply,มั๊ลทิพลาย,"คูณ,ทวีคูณ"
murder,เม๊อร์เด้อร์,ฆาตรกรรม
muscle,มั๊สเคิ่ล,กล้ามเนื้อ
museum,มิวเซี่ยม,พิพิธภัณฑ์
mushroom,มั๊ชรูม,เห็ด
music,มิ๊วสิค,ดนตรี
music room,มิ๊วสิค รูม,ห้องดนตรี
musician,มิวซิช เชียน,นักดนตรี
must,มัสท์,ต้อง
mute,มิ๊วท,"เงียบ,ใบ้"
mutual,มิ๊วช่วล,ทั้งสองฝ่าย
My,มาย,ของฉัน
mystery,มิ๊สเทอรี่,ลึกลับ
myth,มิธ,นิทานโกหก
nail,เนล,"เล็บ,ตะปู"
nail brush,เนล บรัช,แปรงขัดเล็บเท้า
nail cleaner,เนล คลีนเนอร์,อุปกรณ์แคะเล็บ
nail clipper,เนล คลิพเพอร์,กรรไกรตัดเล็บ
nail file,เนล ไฟล์,ตะไบเล็บ
nail polish,เนล โพลิช,ยาทาเล็บ
na?ve,นาอีฝ,ไร้เดียงสา
naked,เน๊คเค่ด,"เปลือย,ล่อนจ้อน"
name,เนม,"ชื่อ,ตั้งชื่อ,ชื่อเสียง"
nap,แน๊พ,งีบหลับ
nape,เนพ,ตันคอ
narrow,แน๊โร่ว,แคบ
nation,เน๊ชั่น,ชาติ
native,เน๊ถีฝ,"พื้นเมือง,โดยกำเนิด"
nature,เน๊เจ้อร์,"ธรรมชาติ,นิสัย"
naughty,น๊อที่,ซุกซน
navel,เน๊เวิล,สะดือ
navigator,แนพ วิเกเทอะ,นักเดินเรือทะเล
navy,เน๊ฝี่,"ทหารเรือ,ทางเรือ"
near,เนียร์,"ใกล้,ชิด,เกือบ"
neat,นี๊ท,"เรียบร้อย,เกลี้ยงเกลา"
necessary,เน๊ซเซสซารี่,จำเป็น
neck,เน็ค,"คอ,คอคอด"
need,นีด,ความต้องการ
needle,นี๊ดเดิ้ล,เข็ม
negative,เน๊กาถีฝ,"ทางลบ,ปฏิเสธ"
neglect,เน็กเล๊คท,"ทอดทิ้ง,ละเลย"
negotiate,นีโก๊ชิเอท,เจรจาตกลง
"neighor,neighbour",เน๊เบ้อร์,เพื่อนบ้าน
neither,ไน๊เธ่อร์,ไม่ทั้งสอง
neo-,นี๊โอ-,ใหม่
nephew,เน๊พิ่ว,หลานชาย
nerve,เนิ๊ร์ฝ,"ประสาท,เส้นประสาท,กลัว"
nest,เนสท,รัง
net,เน็ท,"ตาข่าย,สุทธิ"
neumonia,นิวโม๊เนีย,ปอดอักเสบ
neutral,นิ๊วทรอล,เป็นกลาง
never,เน๊เฝ่อร์,ไม่เคย
new,นิว,ใหม่
news,นิวส์,ข่าว
next,เน๊กซท,ถัดไป
nice,ไน๊ซ์,"ดี,ละเอียด"
niche,นิ๊ช,ส่วนน้อย
niece,นี๊ซ,หลานสาว
night,ไน๊ท,กลางคืน
nine,ไนน,เก้า
nipple,นิ๊พเพิล,หัวนม
no,โน,ไม่
no longer,โน ล๊องเก้อร์,ไม่..อีกแล้ว
noble,โน๊เบิ้ล,"สง่า,ชั้นสูง"
noise,น๊อยส,เสียงอึกทึก
nominate,น๊อมิเหนท,การเสนอชื่อเข้ารับตำแหน่ง
nominee,นอมินี,"ตัวแทน,หุ่นเชิด"
non,นอน,ไม่
non-,นอน-,ไม่
none,นัน,ไม่มีเลย
noodle,นูด’เดิล,"ก๋วยเตี๋ยว, บะหมี่"
noon,นูน,เที่ยง
normal,น๊อร์มอล,ปรกติ
north,น๊อร์ธ,ทิศเหนือ
nose,โน้ส,จมูก
nose bridge,โนส บริดจ,สันจมูก
nostril,น๊อสตริล,รูจมูก
note,โน๊ท,บันทึก
notebook,โน๊ทบุค,สมุด
notepad,โนทแพด,กระดาษโน๊ต
notice,โน๊ทิซ,"แจ้งให้ทราบ,ประกาศ,ใบสั่ง"
notion,โน๊ชั่น,"ความคิด,ความเห็น"
notorious,โนโท๊เรียส,ชื่อกระฉ่อน(ในทางไม่ดี)
notwithstanding,น๊อทวิธสแตนดิ้ง,แต่กระนั้น
nourish,เน๊อริช,บำรุงเลี้ยง
novel,โน๊เฝล,"นวนิยาย,ใหม่,แปลก"
now,นาว,"ขณะนี้,เดี๋ยวนี้"
nowhere,โนแวร์,ไม่มีที่ไหน
noxious,น๊อกเซียส,เป็นพิษ
nozzle,น๊อซเซิ่ล,ปลายกระบอกฉีด
nude,นู๊ด,เปลือย
nuisance,นิ๊วแซนซ์,ก่อกวนให้รำคาญ
nuke,นู๊ก,นิวเคลียร์
null,นัลล,"เป็นโมฆะ,ไม่เป็นผล"
numb,นัมบ์,"ชา,มึน"
number,นั๊มเบ้อร์,จำนวน
nurse,เนิส,พยาบาล
nurture,เน๊อร์เจ้อร์,"เลี้ยง,บำรุง"
nutrition,นิ๊วทริชั่น,โภชนาการ
oasis,โอเอ๊ซิส,บ่อน้ำกลางทะเลทราย
oath,โอธ,คำสาบาญ
obey,โอเบย์,เชื่อฟัง
object,อ๊อบเจ็คท,"วัตถุ,คัดค้าน"
oblique,อ๊อบบิคว,"ลาด,เอียง"
obscene,อ๊อบซีน,ลามก
obscure,อ๊อบสคูร์,"มืดมน,ปิดบัง"
observe,อ๊อบเซิร์ฝ,สังเกตุ
obsess,อ๊อบเซสส,"ครอบงำ,สิงสู่"
obstacle,อ๊อบสเทเคิ่ล,อุปสรรค
obtain,อ๊อบเทน,"ได้,บรรลุ"
obvious,อ๊อบเฝียส,"ชัดเจน,เด่นชัด"
occasion,อ๊อคเคชั่น,"สมัย,โอกาส,คราว"
occupy,อ๊อคคิวไพ,เข้ายึด
occur,อ๊อคเค่อร์,เกิดขึ้น
ocean,โอ๊เชี่ยน,มหาสมุทร
octopus,อ็อคทะเพิส,ปลาหมึกยักษ์
oculist,ออค คิวลิสทฺ,จักษุแพทย์
odd,อ๊อดด,"เลขคี่,เศษ,ประหลาด"
off,ออฟฟ,"หมด,ขาด,ห่างไป"
offend,อ๊อฟเฟ่นด,"ทำผิด,รุกราน"
offer,อ๊อฟเฟ่อร์,เสนอให้
office,อ๊อฟฟิส,สำนักงาน
officer,ออฟ ฟิซเซอะ,เจ้าหน้าที่
official,อ๊อฟิซเชี่ยล,"เจ้าหน้าที่,เป็นทางการ"
officialdom,อะฟิช เชียลดัม,ข้าราชการ
often,อ๊อฟเฟ่น,บ่อย
oil,ออยล์,น้ำมัน
old,โอลด์,"แก่,เก่า,เดิม"
olive,อ๊อลิฝ,มะกอก
on,ออน,"บน,เมื่อ,เปิด"
once,วั๊นซ,"ครั้งเดียว,เมื่อ"
one,วัน,หนึ่ง
Onion,อัน’ยัน,หัวหอม
only,โอ๊นลี่,"เพียง,เดียว,เพิ่ง"
onset,ออเซ็ท,"เริ่มโจมตี,เริ่มจับไข้"
open,โอ๊เพ่น,เปิด
opera,โอ๊เพ-ร่า,อุปรากร
operate,โอ๊เพอเหรท,"ทำ,ปฏิบัติ"
opium,โอ๊เพี่ยม,ฝิ่น
opportunity,อ๊อพพอทูนิที่,โอกาส
opposite,อ๊อพโพสิท,ตรงข้าม
optic,อ๊อพติค,เกี่ยวกับตา
optimist,อ๊อพทิมิสท,มองโลกในแง่ดี
optimum,อ๊อพทิมั่ม,จุดที่ได้ผลดีที่สุด
option,อ๊อพชั่น,ทางเลือก
oral,โอ๊ร่อล,ปากเปล่า
orange,อ๊อรินจ,ส้ม
Orange cake,ออ’รินจฺ เค้ก,เค้กส้ม
orange juice,ออเรนจ์จูส,น้ำส้ม
Orange juice ,ออ’รินจฺ จูสฺ,น้ำส้ม
orbit,อ๊อร์บิท,วงโคจร
orchestra,อ๊อร์เคสต้า,วงออร์เคสตร้า
orchid,อ๊อร์ขิด,กล้วยไม้
ordeal,อ๊อร์ดีล,ความยากลำบาก
order,อ๊อร์เด้อร์,"สั่ง,ลำดับ,ระเบียบ"
ordinary,อ๊อร์ดินารี่,"ธรรมดา,โดยปกติ"
organ,อ๊อร์แกน,อวัยวะ
orient,โอ๊เรี่ยนท์,ตะวันออก
origin,อ๊อริจิ้น,"รากฐาน,ต้นฉบับ,จุดกำเนิด"
orphan,อ๊อร์แฟ๊น,กำพร้า
oscillate,อ๊อซซิลเหลท,"สั่น,ส่าย,แขว่ง"
ostrich,อ๊อสตริช,นกกระจอกเทศ
other,อ๊อเธ่อร์,อื่นๆ
ought,อ๊อธ,ควรจะ
oust,เอ๊าซท์,"ขับไล่,ไล่ออก"
out,เอ๊าท,"ข้างนอก,ออกไป,หมด"
outbound,เอ๊าทบาวนด์,ขาออก
outbreak,เอ๊าทเบรค,"ระบาด,ระเบิดขึ้น"
outcome,เอ๊าทคัม,ผลที่ปรากฎออกมา
outdoor,เอ๊าทดอร์,กลางแจ้ง
outlet,เอ๊าทเหล็ท,"ทางออก,ทางระบาย"
outline,เอ๊าท์ไลน์,"เค้าโครง,ย่อๆ"
outlook,เอ๊าทลุ๊ค,"ช่องที่มองออกไป,ภาพ"
output,เอ๊าทพุท,ผลที่ได้
outrage,เอ๊าทเหรจ,"การทำลาย,ร้ายแรง"
outside,เอ๊าทไซ้ด,ภายนอก
outspoken,เอ๊าทสโพ้คเค่น,ขวานผ่าซาก
outstanding,เอ๊าทสแตนดิ้ง,โดดเด่น
oven,โอ๊เฝ่น,เตาอบ
over,โอ๊เฝ่อร,"เหนือ,ตลอด,สิ้นสุดลง,เกิน"
over-,โอ๊เฝ่อร-,",-มากเกินไป"
overall,โอ๊เฝ่อร์ออล,ทั้งหมด
overcome,โอเฝ่อร์คัม,"ผ่านพ้น,ได้ชัยชนะ"
overcrowded,โอเฝ่อร์คร๊าวเด้ด,แอดอัดยัดเยียด
overdose,โอ๊เฝ่อร์โด่ส,กินยาเกินขนาด
overdue,โอ๊เฝ่อร์ดิว,เกินกำหนด
overhaul,โอ๊เฝ่อร์ฮอล,"ปรับปรุงใหม่หมด,ยกเครื่อง"
overhead,โอ๊เฝ่อร์เฮ้ด,ค่าใช้จ่าย(ที่เกิดขึ้นประจำ)
overlap,โอ๊เฝ่อร์แหล๊พ,"เหลื่อม,ซ้อน"
overload,โอ๊เฝ่อร์โหลด,บรรทุกมากเกินไป
overlook,โอเฝ่อร์ลุ๊ค,มองข้ามไป
overnight,โอเฝ่อร์ไน๊ท,ข้ามคืน
oversea,โอ๊เฝ่อร์ซี,"โพ้นทะเล,ต่างประเทศ"
overtake,โอเฝ่อร์เท้ค,ไล่ทัน
overtime,โอ๊เว่อร์ไทม์,งานที่ทำล่วงเวลา
overturn,โอเว่อร์เทอร์น,คว่ำ
overweight,โอ๊เว่อรเหวจท์,น้ำหนักเกิน
overwhelm,โอเว่อร์เว๊ม,ท่วมท้น
owe,โอว์,เป็นหนี้
owl,อาวล,นกฮูก
own,โอว์น,"ตัวเอง,ด้วยตัวเอง,เป็นเจ้าของ"
ox,อ็อกซ,วัวตัวผู้
pace,เพซ,"ก้าว,เดิน"
pack,แพ็ค,"หีบห่อ,อัด,ยัด"
pact,แพ็คท์,สนธิสัญญา
pad,แพ็ด,"เครื่องรอง,เบาะ"
paddle,แพ๊ดเดิ้ล,"พาย,ใบพัด"
paddy,แพ๊ดดี้,ข้าวเปลือก
page,เพจ,หน้าหนังสือ
pagoda,พาโก๊ด้า,เจดีย์
pain,เพน,เจ็บปวด
paint,เพ้นท,"สี,ทาสี"
painter,เพ๊นเทอะ,ช่างทาสี
palace,พ๊าเหลซ,พระราชวัง
pale,เพล,"ซีด,หน้าซีด"
palm,พาล์ม,"ฝ่ามือ,ต้นปาล์ม"
pan,แพน,กระทะ
pancake ,แพน’เคค, ขนมแพนเค้ก
pancreas,แพ๊งเครียส,ตับอ่อน
panda,แพ๊นดะ,หมีแพนด้า
pandemic,แพนเด๊หมิค,โรคระบาด
panel,แพ๊นเน็ล,"คณะลูกขุน,คณะกรรมการ"
panic,แพ๊หนิค,ตื่นตระหนก
panorama,พาโนร๊าม่า,ภาพที่เห็นได้กว้างขวาง
pants,แพ๊นท,กางเกง
papa,พาพ่า,พ่อ
papaya,พะไพ๊ยะ,papaya
paper,เพ๊เพอะ,กระดาษ
papers,เพ๊เพ่อร์ส,เอกสาร
par,พาร์,"ราคาเดิม,ความเสมอกัน"
parade,พาเหรด,เดินขบวน
paradigm,พ๊าราดาม,"แบบ,กระบวนทัศน์"
paradise,พาราได๊ซ,สวรรค์
paradox,พาราด๊อกซ์,สิ่งที่ขัดแย้งกัน
paragraph,พ๊ารากราฟ,ย่อหน้า
parallel,พ๊าราเล้ล,ขนาน
paralyse,พ๊าราไล๊ซ์,อัมพาต
paramount,พ๊าราเม้าท,ยิ่งใหญ่
parasite,พ๊าราไซท,"พยาธิ,กาฝาก"
parcel,พ๊าร์เซล,"ห่อ,หีบห่อ"
pardon,พ๊าร์ด่อน,"อภัย,ยกโทษให้"
parent,พ๊าร์เร้นท,พ่อแม่
parenthesis,พาร์เร๊นธิสิส,"สอดคล้อง,ข้อความในวงเล็บ"
park,พาร์ค,"สวนสาธารณะ,ที่จอดรถ"
parliament,พ๊าร์เลียเม้นท,รัฐสภา
parrot,แพ๊เริท,นกแก้ว
part,พาร์ท,"แยก,ฝ่าย"
partial,พ๊าร์เชี่ยล,บางส่วน
participate,พาทิ๊ซิเพท,มีส่วนร่วม
particle,พาร์ทิเคิ้ล,ส่วนที่เล็กที่สุด
particular,พาร์ทิ๊คิวล่าร์,โดยเฉพาะ
partisan,พ๊าร์ทิซั่น,"ลำเอียง,เลือกฝ่าย"
partner,พาร์ทเน่อร์,"หุ้นส่วน,คู่คิด"
party,พ๊าร์ที่,"พรรค,งานเลี้ยง"
pass,พาสส,"ผ่าน,บัตรผ่าน"
passion,แพ๊ชชั่น,"กิเลส,ความหลงไหล"
passionfruit,แพ๊เชิ่นฟรุทฺ,เสาวรส
passive,แพ้สสีฝ,"ไม่ต่อสู้,ไม่ดิ้นรน"
passport,พ๊าสพอร์ท,หนังสือเดินทาง
past,พาสท์,"ผ่าน,อดีต,ที่ผ่านไปแล้ว"
pasta,พาส’ทะ,พาสต้า
paste,เพซท์,แป้งเปียก
patch,แพทช์,ปะซ่อม
patent,พ๊าเท้นท,สิทธิบัตร
path,พาธ,ทางเดิน
patient,เพ๊เที้ยนท์,"อดทน,คนไข้"
patriot,แพ๊ทริออท,ผู้รักชาติ
patrol,แพ๊ทโทรล,กองลาดตระเวณ
pattern,แพ๊ทเทอร์น,"แบบ,แผน"
pause,พ๊อส,หยุด
pave,เพ้ฝ,ปูทาง
pavilion,พาฝิ๊เลี่ยน,ตึกหรูหรา
pay,เพย์,"จ่าย,ชำระ,ตอบแทน"
peace,พี๊ซ,สันติภาพ
peach,พีชฺ,ลูกท้อ
peacock,พี๊ค็อก,นกยูง
peak,พี๊ค,"สูงสุด,ยอดสุด"
pear,แพ,ลูกแพร์
pearl,เพิร์ล,ไข่มุก
peasant,เพ๊สเส๊นท,ชาวชนบท
pedal,เพ๊ดั้ล,ที่เหยียบ
pedigree,เพ๊ดิกรี,สายพันธุ์(แท้)
pen,เพ็น,ปากกา
pencil,เพ็นเซิล,ดินสอ
penetrate,พิ๊นิเทรท,เจาะทะลุ
penguin,เพ็นกวิน,นกเพนกวิน
penis,พี๊นิส,อวัยวะเพศชาย
pension,เพ๊นชั่น,บำนาญ
